0	5	611
5	0	611
5	1	268
1	5	268
5	3	420
3	5	420
3	4	43
4	3	43
3	2	353
2	3	353
4	6	74
6	4	74
4	29	536
29	4	536
6	7	125
7	6	125
6	9	468
9	6	468
7	8	170
8	7	170
7	10	302
10	7	302
8	9	184
9	8	184
8	10	162
10	8	162
10	28	245
28	10	245
9	22	1077
22	9	1077
22	27	322
27	22	322
22	26	269
26	22	269
22	21	407
21	22	407
21	11	414
11	21	414
11	25	258
25	11	258
11	2	1173
2	11	1173
11	12	238
12	11	238
12	24	320
24	12	320
12	13	241
13	12	241
13	23	659
23	13	659
13	14	153
14	13	153
14	15	462
15	14	462	
14	18	335
18	14	335
18	17	113
17	18	113
18	19	173
19	18	173
19	20	107
20	19	107
20	17	176
17	20	176
15	17	164
17	15	164
15	16	132
16	15	132
16	30	326
30	16	326
16	1	260
1	16	260
1	2	361
2	1	361
